prediction,true_label,source,confidence,entropy,is_correct,used_hierarchy,used_ssp,used_dlts,experiment,row_index
Civil,Biochemistry,Hier_NLI,0.47808012303110337,1.1722123817143315,False,False,False,False,flat,45
Psychology,Biochemistry,Hier_NLI,0.5125594327965755,0.5280623524179783,False,False,False,False,flat,46
Mae,Medical,Hier_NLI,0.8435711515167867,0.6717861904981696,False,False,False,False,flat,47
Biochemistry,Biochemistry,Human,1.0,0.9998816,True,True,True,True,flat,48
Biochemistry,Biochemistry,Human,1.0,0.9999845,True,True,True,True,flat,49
Biochemistry,Cs,Hier_NLI,0.8405780976232584,0.5222449928160303,False,False,False,False,flat,50
Biochemistry,Biochemistry,Human,1.0,0.9999984,True,True,True,True,flat,51
Biochemistry,Medical,Hier_NLI,0.8858896657205226,0.21231400852144194,False,False,False,False,flat,52
Medical,Medical,Human,1.0,0.9997008,True,True,True,True,flat,53
Biochemistry,Medical,KNN,0.8,0.7219280948873623,False,True,True,True,flat,54
Biochemistry,Biochemistry,Human,1.0,0.9997462,True,True,True,True,flat,55
Mae,Mae,Human,1.0,0.9998239,True,True,True,True,flat,56
Ece,Cs,Hier_NLI,0.8411029898650026,1.4152070720546623,False,False,False,False,flat,57
Biochemistry,Biochemistry,Human,1.0,0.9986119,True,True,True,True,flat,58
Biochemistry,Biochemistry,KNN,1.0,-0.0,True,True,True,True,flat,59
Medical,Medical,Human,1.0,1.5463215,True,True,True,True,flat,60
Biochemistry,Biochemistry,KNN,1.0,-0.0,True,True,True,True,flat,61
Civil,Medical,Hier_NLI,0.3764232216200165,0.8679545888996643,False,False,False,False,flat,62
Medical,Medical,Human,1.0,0.99840504,True,True,True,True,flat,63
Biochemistry,Medical,KNN,0.8,0.7219280948873623,False,True,True,True,flat,64
Biochemistry,Medical,KNN,0.8,0.7219280948873623,False,True,True,True,flat,65
Psychology,Medical,Hier_NLI,0.7942345716821925,1.2029664634596955,False,False,False,False,flat,66
Biochemistry,Medical,KNN,0.8,0.7219280948873623,False,True,True,True,flat,67
Biochemistry,Medical,KNN,0.8,0.7219280948873623,False,True,True,True,flat,68
Ece,Biochemistry,Hier_NLI,0.5459030868657565,1.0216999290594144,False,False,False,False,flat,69
Biochemistry,Biochemistry,KNN,1.0,-0.0,True,True,True,True,flat,70
Biochemistry,Biochemistry,KNN,0.8,0.7219280948873623,True,True,True,True,flat,71
Biochemistry,Civil,KNN,1.0,-0.0,False,True,True,True,flat,72
Mae,Cs,Hier_NLI,0.8944808135675628,0.8199559906867651,False,False,False,False,flat,73
Cs,Medical,Hier_NLI,0.5833685785972806,0.22554955932313217,False,False,False,False,flat,74
Biochemistry,Mae,KNN,0.8,0.7219280948873623,False,True,True,True,flat,75
Cs,Cs,Human,1.0,1.5833852,True,True,True,True,flat,76
Biochemistry,Biochemistry,KNN,0.8,0.7219280948873623,True,True,True,True,flat,77
Civil,Biochemistry,Hier_NLI,0.6323016495013324,0.999826963378426,False,False,False,False,flat,78
Psychology,Cs,Hier_NLI,0.6178649491540791,0.317518498311565,False,False,False,False,flat,79
Psychology,Cs,Hier_NLI,0.4930422179149667,0.6801364370987872,False,False,False,False,flat,80
Cs,Cs,Human,1.0,1.5761219,True,True,True,True,flat,81
Cs,Cs,Cache,1.0,0.0,True,True,True,True,flat,82
Psychology,Cs,Hier_NLI,0.3450132533357509,0.9807584008726024,False,False,False,False,flat,82
Cs,Cs,Human,1.0,1.5669656,True,True,True,True,flat,83
Civil,Cs,Hier_NLI,0.8373907382411512,1.1951206006609727,False,False,False,False,flat,84
Civil,Cs,Hier_NLI,0.7816054875157721,1.0590632459920672,False,False,False,False,flat,85
Cs,Cs,Human,1.0,1.5837185,True,True,True,True,flat,86
Biochemistry,Biochemistry,Human,1.0,1.578897,True,True,True,True,flat,87
Mae,Cs,Hier_NLI,0.3837160683358016,1.0401469406764803,False,False,False,False,flat,88
Biochemistry,Mae,Hier_NLI,0.7660609628100438,0.3086590928452905,False,False,False,False,flat,89
Biochemistry,Biochemistry,KNN,0.8,0.7219280948873623,True,True,True,True,flat,90
Biochemistry,Biochemistry,KNN,0.8,0.7219280948873623,True,True,True,True,flat,91
Civil,Civil,Human,1.0,1.9924443,True,True,True,True,flat,92
Mae,Civil,Hier_NLI,0.6755079996303661,0.5845799561002231,False,False,False,False,flat,93
Biochemistry,Biochemistry,KNN,0.8,0.7219280948873623,True,True,True,True,flat,94
Biochemistry,Medical,KNN,1.0,-0.0,False,True,True,True,flat,95
Biochemistry,Medical,Hier_NLI,0.5454862727505734,0.16007718172427182,False,False,False,False,flat,96
Civil,Biochemistry,Hier_NLI,0.45241268945733765,1.1072676504470504,False,False,False,False,flat,97
Medical,Cs,Hier_NLI,0.8158372701013394,1.4336203738443867,False,False,False,False,flat,98
Biochemistry,Biochemistry,KNN,1.0,-0.0,True,True,True,True,flat,99
Biochemistry,Biochemistry,Human,1.0,0.99901116,True,True,True,True,flat,100
Medical,Medical,Human,1.0,1.5541945,True,True,True,True,flat,101
Civil,Ece,Hier_NLI,0.7201129555764318,0.4697545462507061,False,False,False,False,flat,102
Civil,Civil,KNN,0.8,0.7219280948873623,True,True,True,True,flat,103
Medical,Medical,Human,1.0,1.5826886,True,True,True,True,flat,104
Biochemistry,Biochemistry,KNN,1.0,-0.0,True,True,True,True,flat,105
Cs,Cs,Human,1.0,1.5837955,True,True,True,True,flat,106
Cs,Cs,Human,1.0,1.582212,True,True,True,True,flat,107
Biochemistry,Cs,Hier_NLI,0.6286439456814821,0.22277539282723302,False,False,False,False,flat,108
Ece,Ece,Human,1.0,1.5799826,True,True,True,True,flat,109
Ece,Ece,Human,1.0,1.9933733,True,True,True,True,flat,110
Ece,Ece,Human,1.0,1.5840796,True,True,True,True,flat,111
Mae,Ece,Hier_NLI,0.6657411203390785,0.765798107455115,False,False,False,False,flat,112
Mae,Mae,Human,1.0,1.9828737,True,True,True,True,flat,113
Ece,Ece,Human,1.0,1.5754497,True,True,True,True,flat,114
Biochemistry,Medical,Hier_NLI,0.3546397092493086,1.2993775123785964,False,False,False,False,flat,115
Civil,Ece,Hier_NLI,0.5843518565467152,0.8727638733804916,False,False,False,False,flat,116
Medical,Ece,Hier_NLI,0.4162201756714212,0.1654880102661586,False,False,False,False,flat,117
Psychology,Psychology,Human,1.0,1.5488645,True,True,True,True,flat,118
Cs,Medical,Hier_NLI,0.42503020740529524,1.4639811367391244,False,False,False,False,flat,119
Medical,Biochemistry,Hier_NLI,0.69678237737212,1.260109873947641,False,False,False,False,flat,120
Ece,Biochemistry,Hier_NLI,0.8467536911005729,0.2842317078721142,False,False,False,False,flat,121
Biochemistry,Biochemistry,KNN,0.8,0.7219280948873623,True,True,True,True,flat,122
Civil,Civil,Human,1.0,1.584566,True,True,True,True,flat,123
Ece,Ece,Human,1.0,1.5772057,True,True,True,True,flat,124
Medical,Medical,Human,1.0,1.5742335,True,True,True,True,flat,125
Medical,Medical,KNN,0.8,0.7219280948873623,True,True,True,True,flat,126
Mae,Mae,Human,1.0,1.5839523,True,True,True,True,flat,127
Biochemistry,Ece,Hier_NLI,0.542253966287008,1.3905168591049124,False,False,False,False,flat,128
Biochemistry,Ece,Hier_NLI,0.4246495638073142,0.730963604047264,False,False,False,False,flat,129
Medical,Medical,Human,1.0,1.5691626,True,True,True,True,flat,130
Ece,Ece,KNN,0.8,0.7219280948873623,True,True,True,True,flat,131
Civil,Medical,Hier_NLI,0.6892481623419926,0.6206571868049177,False,False,False,False,flat,132
Ece,Mae,KNN,0.8,0.7219280948873623,False,True,True,True,flat,133
Civil,Civil,Human,1.0,1.5847198,True,True,True,True,flat,134
Civil,Civil,Human,1.0,1.5763365,True,True,True,True,flat,135
Cs,Cs,KNN,0.8,0.7219280948873623,True,True,True,True,flat,136
Ece,Ece,KNN,1.0,-0.0,True,True,True,True,flat,137
Ece,Ece,KNN,1.0,-0.0,True,True,True,True,flat,138
Biochemistry,Medical,Hier_NLI,0.8227122278101906,0.7454746627380634,False,False,False,False,flat,139
Biochemistry,Medical,KNN,0.8,0.7219280948873623,False,True,True,True,flat,140
Cs,Medical,Hier_NLI,0.7489912806734946,1.2684007396193262,False,False,False,False,flat,141
Civil,Civil,Human,1.0,1.5716796,True,True,True,True,flat,142
Biochemistry,Medical,KNN,0.8,0.7219280948873623,False,True,True,True,flat,143
Medical,Medical,Human,1.0,1.5782397,True,True,True,True,flat,144
Psychology,Medical,Hier_NLI,0.8212543383219524,1.0232715496015001,False,False,False,False,flat,145
Medical,Medical,KNN,0.8,0.7219280948873623,True,True,True,True,flat,146
Medical,Medical,Human,1.0,1.5822201,True,True,True,True,flat,147
Medical,Medical,Human,1.0,1.5719295,True,True,True,True,flat,148
Civil,Medical,Hier_NLI,0.6219328026064797,0.18294783335961856,False,False,False,False,flat,149
Medical,Medical,Human,1.0,1.5469747,True,True,True,True,flat,150
Ece,Ece,KNN,1.0,-0.0,True,True,True,True,flat,151
Ece,Mae,KNN,0.8,0.7219280948873623,False,True,True,True,flat,152
Ece,Mae,KNN,0.8,0.7219280948873623,False,True,True,True,flat,153
Civil,Medical,Hier_NLI,0.7511257466215147,1.4406461195626392,False,False,False,False,flat,154
Ece,Ece,KNN,1.0,-0.0,True,True,True,True,flat,155
Mae,Medical,Hier_NLI,0.3840387356153619,0.30689778686964486,False,False,False,False,flat,156
Cs,Medical,Hier_NLI,0.5089647692179149,1.1437951324294915,False,False,False,False,flat,157
Medical,Medical,Human,1.0,1.5769804,True,True,True,True,flat,158
Psychology,Medical,Hier_NLI,0.5337294986889135,0.9905911425993833,False,False,False,False,flat,159
Psychology,Mae,Hier_NLI,0.6067774477476208,0.36253926712518514,False,False,False,False,flat,160
Medical,Medical,Human,1.0,1.58061,True,True,True,True,flat,161
Psychology,Biochemistry,Hier_NLI,0.8574458161540943,0.33902490655826945,False,False,False,False,flat,162
Psychology,Ece,Hier_NLI,0.8245779361333045,1.318458631186569,False,False,False,False,flat,163
Ece,Ece,KNN,1.0,-0.0,True,True,True,True,flat,164
Cs,Biochemistry,Hier_NLI,0.38071529537351073,0.6875728928994359,False,False,False,False,flat,165
Biochemistry,Biochemistry,KNN,0.8,0.7219280948873623,True,True,True,True,flat,166
Cs,Cs,KNN,0.8,0.7219280948873623,True,True,True,True,flat,167
Ece,Ece,Human,1.0,1.5833132,True,True,True,True,flat,168
Ece,Ece,Human,1.0,1.5804981,True,True,True,True,flat,169
Cs,Cs,Human,1.0,1.5716543,True,True,True,True,flat,170
Civil,Civil,Human,1.0,1.5829582,True,True,True,True,flat,171
Biochemistry,Biochemistry,KNN,0.8,0.7219280948873623,True,True,True,True,flat,172
Civil,Medical,Hier_NLI,0.40367379112947793,1.0164071198437938,False,False,False,False,flat,173
Biochemistry,Biochemistry,KNN,1.0,-0.0,True,True,True,True,flat,174
Psychology,Ece,Hier_NLI,0.5145843297533468,0.8056994053993425,False,False,False,False,flat,175
Cs,Mae,Hier_NLI,0.47444631953440436,1.1182949239063433,False,False,False,False,flat,176
Biochemistry,Biochemistry,KNN,0.8,0.7219280948873623,True,True,True,True,flat,177
Biochemistry,Biochemistry,Human,1.0,0.9994587,True,True,True,True,flat,178
Mae,Mae,Human,1.0,1.5830784,True,True,True,True,flat,179
Psychology,Cs,Hier_NLI,0.6688625718937574,0.7709393250550627,False,False,False,False,flat,180
Ece,Medical,Hier_NLI,0.841665628658727,0.5023318813577957,False,False,False,False,flat,181
Psychology,Psychology,Human,1.0,1.5554659,True,True,True,True,flat,182
Civil,Mae,KNN,0.8,0.7219280948873623,False,True,True,True,flat,183
Mae,Mae,Human,1.0,1.5840659,True,True,True,True,flat,184
Medical,Medical,KNN,0.8,0.7219280948873623,True,True,True,True,flat,185
Civil,Civil,KNN,0.8,0.7219280948873623,True,True,True,True,flat,186
Ece,Biochemistry,Hier_NLI,0.8773749250035521,0.608736719395095,False,False,False,False,flat,187
Ece,Civil,KNN,1.0,-0.0,False,True,True,True,flat,188
Ece,Civil,KNN,1.0,-0.0,False,True,True,True,flat,189
Biochemistry,Civil,Hier_NLI,0.6921617715211359,1.3027087722304798,False,False,False,False,flat,190
Ece,Ece,Human,1.0,1.581641,True,True,True,True,flat,191
Cs,Mae,Hier_NLI,0.8028955208406521,0.7552485700918178,False,False,False,False,flat,192
Ece,Ece,KNN,1.0,-0.0,True,True,True,True,flat,193
Ece,Ece,KNN,0.8,0.7219280948873623,True,True,True,True,flat,194
Ece,Ece,Human,1.0,1.5786159,True,True,True,True,flat,195
Biochemistry,Medical,KNN,1.0,-0.0,False,True,True,True,flat,196
Biochemistry,Biochemistry,KNN,1.0,-0.0,True,True,True,True,flat,197
Medical,Medical,KNN,0.8,0.7219280948873623,True,True,True,True,flat,198
Civil,Mae,KNN,0.8,0.7219280948873623,False,True,True,True,flat,199
Biochemistry,Biochemistry,KNN,1.0,-0.0,True,True,True,True,flat,200
Biochemistry,Biochemistry,KNN,0.8,0.7219280948873623,True,True,True,True,flat,201
Biochemistry,Biochemistry,KNN,0.8,0.7219280948873623,True,True,True,True,flat,202
Biochemistry,Biochemistry,Human,1.0,1.9957521,True,True,True,True,flat,203
Mae,Psychology,Hier_NLI,0.6151213201384783,0.398829065142453,False,False,False,False,flat,204
Psychology,Psychology,Human,1.0,1.5194879,True,True,True,True,flat,205
Cs,Cs,KNN,1.0,-0.0,True,True,True,True,flat,206
Biochemistry,Psychology,Hier_NLI,0.4249961681160238,1.4084475433081545,False,False,False,False,flat,207
Civil,Civil,Human,1.0,1.5845611,True,True,True,True,flat,208
Medical,Biochemistry,Hier_NLI,0.6148130472560864,1.2152406390977277,False,False,False,False,flat,209
Civil,Ece,Hier_NLI,0.6330495608625907,0.17793260447867879,False,False,False,False,flat,210
Ece,Ece,KNN,0.8,0.7219280948873623,True,True,True,True,flat,211
Ece,Medical,Hier_NLI,0.7454745385281341,1.498520146772725,False,False,False,False,flat,212
Biochemistry,Biochemistry,KNN,1.0,-0.0,True,True,True,True,flat,213
Ece,Ece,KNN,1.0,-0.0,True,True,True,True,flat,214
Biochemistry,Civil,KNN,0.8,0.7219280948873623,False,True,True,True,flat,215
Ece,Biochemistry,Hier_NLI,0.43192979382440944,1.0728973750161432,False,False,False,False,flat,216
Mae,Ece,Hier_NLI,0.5209862292520391,0.32437323865682166,False,False,False,False,flat,217
Cs,Cs,KNN,0.8,0.7219280948873623,True,True,True,True,flat,218
Ece,Ece,KNN,0.8,0.7219280948873623,True,True,True,True,flat,219
Cs,Mae,KNN,0.8,0.7219280948873623,False,True,True,True,flat,220
Ece,Ece,KNN,0.8,0.7219280948873623,True,True,True,True,flat,221
Mae,Mae,Human,1.0,1.5845199,True,True,True,True,flat,222
Ece,Ece,KNN,0.8,0.7219280948873623,True,True,True,True,flat,223
Ece,Ece,KNN,1.0,-0.0,True,True,True,True,flat,224
Ece,Ece,KNN,1.0,-0.0,True,True,True,True,flat,225
Ece,Mae,Hier_NLI,0.5184164815287398,0.432034753818035,False,False,False,False,flat,226
Psychology,Psychology,Human,1.0,1.5807629,True,True,True,True,flat,227
Cs,Cs,KNN,1.0,-0.0,True,True,True,True,flat,228
Mae,Mae,Human,1.0,1.5798602,True,True,True,True,flat,229
Mae,Mae,Human,1.0,1.584369,True,True,True,True,flat,230
Civil,Mae,Hier_NLI,0.875663757444699,1.0694236737381657,False,False,False,False,flat,231
Ece,Ece,Human,1.0,1.5833507,True,True,True,True,flat,232
Ece,Ece,Human,1.0,1.5756003,True,True,True,True,flat,233
Ece,Ece,Human,1.0,1.584571,True,True,True,True,flat,234
Biochemistry,Psychology,Hier_NLI,0.5663669761960314,1.1916654773907709,False,False,False,False,flat,235
Medical,Psychology,Hier_NLI,0.7530563803788879,0.4346503204097286,False,False,False,False,flat,236
Mae,Mae,Human,1.0,1.5815628,True,True,True,True,flat,237
Civil,Civil,Human,1.0,1.5495532,True,True,True,True,flat,238
Medical,Psychology,Hier_NLI,0.7504868288246636,0.4597563954589792,False,False,False,False,flat,239
Ece,Ece,Human,1.0,1.5743415,True,True,True,True,flat,240
Cs,Cs,Human,1.0,1.5509074,True,True,True,True,flat,241
Civil,Psychology,Hier_NLI,0.45932651088194487,0.5299689728208852,False,False,False,False,flat,242
Ece,Ece,KNN,1.0,-0.0,True,True,True,True,flat,243
Ece,Ece,KNN,0.8,0.7219280948873623,True,True,True,True,flat,244
Mae,Mae,Human,1.0,1.5813125,True,True,True,True,flat,245
Ece,Ece,KNN,1.0,-0.0,True,True,True,True,flat,246
Ece,Ece,KNN,1.0,-0.0,True,True,True,True,flat,247
Ece,Ece,KNN,1.0,-0.0,True,True,True,True,flat,248
Mae,Mae,Human,1.0,1.5834687,True,True,True,True,flat,249
Ece,Ece,Human,1.0,1.5845767,True,True,True,True,flat,250
Ece,Medical,Hier_NLI,0.6431218136230393,0.9372257107712914,False,False,False,False,flat,251
Cs,Mae,Hier_NLI,0.8365817359911889,0.3405426496217877,False,False,False,False,flat,252
Psychology,Ece,Hier_NLI,0.5851186316741697,0.24594047843868852,False,False,False,False,flat,253
Civil,Civil,KNN,1.0,-0.0,True,True,True,True,flat,254
Mae,Mae,Human,1.0,1.9952879,True,True,True,True,flat,255
Medical,Mae,Hier_NLI,0.8670705044055278,1.0504097247197188,False,False,False,False,flat,256
Cs,Cs,KNN,0.8,0.7219280948873623,True,True,True,True,flat,257
Cs,Cs,KNN,1.0,-0.0,True,True,True,True,flat,258
Ece,Ece,Human,1.0,1.5838523,True,True,True,True,flat,259
Ece,Ece,Human,1.0,1.5840533,True,True,True,True,flat,260
Civil,Civil,KNN,0.8,0.7219280948873623,True,True,True,True,flat,261
Civil,Civil,Human,1.0,1.5704745,True,True,True,True,flat,262
Cs,Ece,Hier_NLI,0.42867493759449693,1.190737115710438,False,False,False,False,flat,263
Mae,Cs,Hier_NLI,0.34449546346441845,0.8013011661831075,False,False,False,False,flat,264
Biochemistry,Biochemistry,KNN,0.8,0.7219280948873623,True,True,True,True,flat,265
Mae,Mae,Human,1.0,1.578598,True,True,True,True,flat,266
Civil,Civil,Human,1.0,1.9982364,True,True,True,True,flat,267
Mae,Mae,Human,1.0,1.5834287,True,True,True,True,flat,268
Civil,Civil,KNN,0.8,0.7219280948873623,True,True,True,True,flat,269
Ece,Ece,KNN,1.0,-0.0,True,True,True,True,flat,270
Mae,Civil,Hier_NLI,0.8348723238868496,0.6093657943757395,False,False,False,False,flat,271
Mae,Mae,KNN,0.8,0.7219280948873623,True,True,True,True,flat,272
Cs,Cs,KNN,0.8,0.7219280948873623,True,True,True,True,flat,273
Cs,Cs,Human,1.0,1.5693703,True,True,True,True,flat,274
Civil,Civil,Human,1.0,0.9982824,True,True,True,True,flat,275
Psychology,Biochemistry,Hier_NLI,0.8086087187773301,0.7048597989370669,False,False,False,False,flat,276
Ece,Ece,KNN,1.0,-0.0,True,True,True,True,flat,277
Mae,Mae,Human,1.0,1.5795445,True,True,True,True,flat,278
Ece,Ece,Human,1.0,1.5775924,True,True,True,True,flat,279
Mae,Mae,KNN,0.8,0.7219280948873623,True,True,True,True,flat,280
Civil,Cs,Hier_NLI,0.8955539255603069,0.6437709674207326,False,False,False,False,flat,281
Mae,Mae,Human,1.0,1.5809822,True,True,True,True,flat,282
Mae,Psychology,Hier_NLI,0.7076360928674557,1.4439788715327453,False,False,False,False,flat,283
Cs,Cs,Human,1.0,1.5811154,True,True,True,True,flat,284
Ece,Ece,KNN,1.0,-0.0,True,True,True,True,flat,285
Cs,Psychology,Hier_NLI,0.8620127560002897,1.1753258673067963,False,False,False,False,flat,286
Cs,Ece,Hier_NLI,0.7961694150504666,0.3913221007901544,False,False,False,False,flat,287
Ece,Ece,KNN,1.0,-0.0,True,True,True,True,flat,288
Ece,Ece,KNN,0.8,0.7219280948873623,True,True,True,True,flat,289
Mae,Ece,KNN,0.8,0.7219280948873623,False,True,True,True,flat,290
Psychology,Psychology,Human,1.0,1.5786376,True,True,True,True,flat,291
Cs,Cs,Human,1.0,1.5790677,True,True,True,True,flat,292
Ece,Ece,KNN,1.0,-0.0,True,True,True,True,flat,293
Ece,Ece,KNN,1.0,-0.0,True,True,True,True,flat,294
Ece,Ece,KNN,1.0,-0.0,True,True,True,True,flat,295
Biochemistry,Medical,KNN,0.8,0.7219280948873623,False,True,True,True,flat,296
Psychology,Psychology,Human,1.0,1.5787015,True,True,True,True,flat,297
Biochemistry,Medical,Hier_NLI,0.8066557998720523,0.6378648128755721,False,False,False,False,flat,298
Ece,Ece,Human,1.0,1.9682012,True,True,True,True,flat,299
Psychology,Psychology,KNN,0.8,0.7219280948873623,True,True,True,True,flat,300
Mae,Mae,Human,1.0,1.5839448,True,True,True,True,flat,301
Psychology,Psychology,KNN,1.0,-0.0,True,True,True,True,flat,302
Cs,Cs,KNN,1.0,-0.0,True,True,True,True,flat,303
Cs,Psychology,Hier_NLI,0.641484942272561,0.8616172079083536,False,False,False,False,flat,304
Mae,Mae,KNN,1.0,-0.0,True,True,True,True,flat,305
Cs,Cs,KNN,1.0,-0.0,True,True,True,True,flat,306
Biochemistry,Biochemistry,KNN,0.8,0.7219280948873623,True,True,True,True,flat,307
Psychology,Biochemistry,Hier_NLI,0.5294187587500265,0.9581802068891637,False,False,False,False,flat,308
Psychology,Psychology,Human,1.0,0.9999901,True,True,True,True,flat,309
Biochemistry,Medical,KNN,0.8,0.7219280948873623,False,True,True,True,flat,310
Medical,Medical,Human,1.0,1.5760348,True,True,True,True,flat,311
Cs,Medical,Hier_NLI,0.8607348435259692,0.7554574544402739,False,False,False,False,flat,312
Mae,Mae,Human,1.0,1.5607433,True,True,True,True,flat,313
Medical,Medical,KNN,0.8,0.7219280948873623,True,True,True,True,flat,314
Ece,Medical,Hier_NLI,0.5592703053695367,1.2341772890167428,False,False,False,False,flat,315
Psychology,Psychology,KNN,1.0,-0.0,True,True,True,True,flat,316
Cs,Cs,KNN,0.8,0.7219280948873623,True,True,True,True,flat,317
Cs,Cs,Human,1.0,1.5750449,True,True,True,True,flat,318
Cs,Cs,Human,1.0,0.99847215,True,True,True,True,flat,319
Cs,Mae,Hier_NLI,0.6232916203498015,1.1746484272415243,False,False,False,False,flat,320
Ece,Biochemistry,Hier_NLI,0.5676685842751127,0.8072210860794333,False,False,False,False,flat,321
Ece,Ece,KNN,1.0,-0.0,True,True,True,True,flat,322
Biochemistry,Biochemistry,KNN,0.8,0.7219280948873623,True,True,True,True,flat,323
Cs,Medical,Hier_NLI,0.6388909883761182,1.2962011414944226,False,False,False,False,flat,324
Ece,Ece,KNN,1.0,-0.0,True,True,True,True,flat,325
Mae,Mae,Human,1.0,1.5845814,True,True,True,True,flat,326
Biochemistry,Biochemistry,KNN,1.0,-0.0,True,True,True,True,flat,327
Cs,Medical,Hier_NLI,0.5823030473953963,1.1515253426193404,False,False,False,False,flat,328
Civil,Cs,KNN,0.8,0.7219280948873623,False,True,True,True,flat,329
Civil,Civil,KNN,1.0,-0.0,True,True,True,True,flat,330
Cs,Cs,KNN,0.8,0.7219280948873623,True,True,True,True,flat,331
Cs,Cs,KNN,0.8,0.7219280948873623,True,True,True,True,flat,332
Psychology,Psychology,KNN,1.0,-0.0,True,True,True,True,flat,333
Psychology,Psychology,KNN,0.8,0.7219280948873623,True,True,True,True,flat,334
Mae,Mae,Human,1.0,1.5692731,True,True,True,True,flat,335
Psychology,Medical,Hier_NLI,0.3287805351476855,1.1900145882089006,False,False,False,False,flat,336
Cs,Medical,Hier_NLI,0.8292289116046192,1.4389610912067832,False,False,False,False,flat,337
Civil,Civil,KNN,1.0,-0.0,True,True,True,True,flat,338
Mae,Cs,KNN,0.8,0.7219280948873623,False,True,True,True,flat,339
Ece,Ece,KNN,1.0,-0.0,True,True,True,True,flat,340
Ece,Ece,KNN,1.0,-0.0,True,True,True,True,flat,341
